nohup python3 evolve.py -s switch_maps -c config/config-switch_maps_tmaze -g 1000 -p tmaze --num_episodes 8 --map_size 10 --draw out/tmaze_maps/7 --log out/tmaze_maps/stats>> out/tmaze_maps/7.txt &


 ****** Running generation 0 ****** 

Population's average fitness: -11.70800 stdev: 5.36615
Best fitness: 15.20000 - size: (1, 5) - species 12 - id 12
Average adjusted fitness: 0.039
Mean genetic distance 3.993, standard deviation 0.667
Population of 769 members in 253 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0    18    -12.8    0.000     0
     2    0     2    -12.8    0.000     0
     3    0     4    -12.8    0.000     0
     4    0     2    -12.8    0.000     0
     5    0     2    -12.8    0.000     0
     6    0     2    -12.8    0.000     0
     7    0    18    -12.8    0.000     0
     8    0     2    -12.8    0.000     0
     9    0     2    -12.8    0.000     0
    10    0     2    -12.8    0.000     0
    11    0     7    -12.8    0.000     0
    12    0     1     15.2    1.000     0
    13    0     2    -12.8    0.000     0
    14    0     2    -12.8    0.000     0
    15    0     2    -12.8    0.000     0
    16    0   110    -12.8    0.000     0
    17    0     1      8.2    0.750     0
    18    0     2    -12.8    0.000     0
    19    0    36    -12.8    0.000     0
    20    0     3    -12.8    0.000     0
    21    0     5    -12.8    0.000     0
    22    0     5    -12.8    0.000     0
    23    0     2    -12.8    0.000     0
    24    0    14    -12.8    0.000     0
    25    0    27    -12.8    0.000     0
    26    0     1    -12.8    0.000     0
    27    0     1    -12.8    0.000     0
    28    0    17    -12.8    0.000     0
    29    0     1    -12.8    0.000     0
    30    0    64    -12.8    0.000     0
    31    0    27    -12.8    0.000     0
    32    0    20    -12.8    0.000     0
    33    0     1    -12.8    0.000     0
    34    0     1    -12.8    0.000     0
    35    0     7    -12.8    0.000     0
    36    0     1    -12.8    0.000     0
    37    0    45    -12.8    0.000     0
    38    0     2    -12.8    0.000     0
    39    0     6    -12.8    0.000     0
    40    0    16    -12.8    0.000     0
    41    0     2    -12.8    0.000     0
    42    0     1    -12.8    0.000     0
    43    0     1     15.2    1.000     0
    44    0     1    -12.8    0.000     0
    45    0     1    -12.8    0.000     0
    46    0     1    -12.8    0.000     0
    47    0     2    -12.8    0.000     0
    48    0     1    -12.8    0.000     0
    49    0     2    -12.8    0.000     0
    50    0     1     15.2    1.000     0
    51    0     1    -12.8    0.000     0
    52    0     2    -12.8    0.000     0
    53    0     1    -12.8    0.000     0
    54    0     1    -12.8    0.000     0
    55    0     1    -12.8    0.000     0
    56    0     2    -12.8    0.000     0
    57    0     3    -12.8    0.000     0
    58    0     7    -12.8    0.000     0
    59    0     2    -12.8    0.000     0
    60    0     6    -12.8    0.000     0
    61    0     2    -12.8    0.000     0
    62    0     3    -12.8    0.000     0
    63    0     1    -12.8    0.000     0
    64    0     2    -12.8    0.000     0
    65    0     1    -12.8    0.000     0
    66    0     1    -12.8    0.000     0
    67    0     1    -12.8    0.000     0
    68    0     1    -12.8    0.000     0
    69    0     2    -12.8    0.000     0
    70    0     1    -12.8    0.000     0
    71    0     1     15.2    1.000     0
    72    0     1    -12.8    0.000     0
    73    0     2    -12.8    0.000     0
    74    0     1    -12.8    0.000     0
    75    0     1    -12.8    0.000     0
    76    0     2    -12.8    0.000     0
